Date;Competition Name;Home team;Opponent;Away team;Minute;Score Home Team - When Messi Scored;Score Away Team - When Messi Scored;Goal Type;Goal Method;Final Game Result
samedi 16 février 2019;Liga;FC Barcelona;Real Valladolid;Real Valladolid;43;1;0;Penalty;Left foot;Won
dimanche 13 janvier 2019;Liga;FC Barcelona;Eibar;Eibar;53;2;0;Field goal;Left foot;Won
samedi 22 décembre 2018;Liga;FC Barcelona;Celta de Vigo;Celta de Vigo;45;2;0;Field goal;Left foot;Won
samedi 20 octobre 2018;Liga;FC Barcelona;Sevilla;Sevilla;12;2;0;Field goal;Left foot;Won
dimanche 23 septembre 2018;Liga;FC Barcelona;Girona;Girona;19;1;0;Field goal;Left foot;Draw
samedi 18 août 2018;Liga;FC Barcelona;Alavés;Alavés;90+2;3;0;Field goal;Left foot;Won
samedi 18 août 2018;Liga;FC Barcelona;Alavés;Alavés;64;1;0;Free kick;Left foot;Won
mercredi 9 mai 2018;Liga;FC Barcelona;Villarreal;Villarreal;45;3;0;Field goal;Left foot;Won
samedi 7 avril 2018;Liga;FC Barcelona;Leganés;Leganés;32;2;0;Field goal;Left foot;Won
samedi 7 avril 2018;Liga;FC Barcelona;Leganés;Leganés;27;1;0;Free kick;Left foot;Won
dimanche 18 mars 2018;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;30;2;0;Field goal;Left foot;Won
dimanche 4 mars 2018;Liga;FC Barcelona;Atlético Madrid;Atlético Madrid;26;1;0;Free kick;Left foot;Won
dimanche 7 janvier 2018;Liga;FC Barcelona;Levante;Levante;12;1;0;Field goal;Left foot;Won
dimanche 1 octobre 2017;Liga;FC Barcelona;Las Palmas;Las Palmas;77;3;0;Field goal;Left foot;Won
dimanche 1 octobre 2017;Liga;FC Barcelona;Las Palmas;Las Palmas;71;2;0;Field goal;Left foot;Won
mardi 19 septembre 2017;Liga;FC Barcelona;Eibar;Eibar;20;1;0;Penalty;Left foot;Won
samedi 9 septembre 2017;Liga;FC Barcelona;Espanyol;Espanyol;67;3;0;Field goal;Left foot;Won
samedi 9 septembre 2017;Liga;FC Barcelona;Espanyol;Espanyol;26;1;0;Field goal;Left foot;Won
mercredi 26 avril 2017;Liga;FC Barcelona;Osasuna;Osasuna;12;1;0;Field goal;Left foot;Won
samedi 15 avril 2017;Liga;FC Barcelona;Real Sociedad;Real Sociedad;37;2;0;Rebound;Left foot;Won
samedi 15 avril 2017;Liga;FC Barcelona;Real Sociedad;Real Sociedad;17;1;0;Field goal;Left foot;Won
mercredi 5 avril 2017;Liga;FC Barcelona;Sevilla;Sevilla;33;3;0;Field goal;Left foot;Won
samedi 4 mars 2017;Liga;FC Barcelona;Celta de Vigo;Celta de Vigo;64;5;0;Solo run;Left foot;Won
samedi 4 mars 2017;Liga;FC Barcelona;Celta de Vigo;Celta de Vigo;24;1;0;Solo run;Left foot;Won
samedi 4 février 2017;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;40;2;0;Free kick;Left foot;Won
samedi 15 octobre 2016;Liga;FC Barcelona;Deportivo La Coruña;Deportivo La Coruña;58;4;0;Field goal;Left foot;Won
dimanche 8 mai 2016;Liga;FC Barcelona;Espanyol;Espanyol;8;1;0;Free kick;Left foot;Won
samedi 12 mars 2016;Liga;FC Barcelona;Getafe;Getafe;40;4;0;Field goal;Left foot;Won
dimanche 14 février 2016;Liga;FC Barcelona;Celta de Vigo;Celta de Vigo;28;1;0;Free kick;Left foot;Won
dimanche 17 janvier 2016;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;7;1;0;Penalty;Left foot;Won
samedi 9 janvier 2016;Liga;FC Barcelona;Granada;Granada;58;3;0;Rebound;Left foot;Won
samedi 9 janvier 2016;Liga;FC Barcelona;Granada;Granada;14;2;0;Field goal;Left foot;Won
samedi 9 janvier 2016;Liga;FC Barcelona;Granada;Granada;8;1;0;Field goal;Left foot;Won
samedi 12 décembre 2015;Liga;FC Barcelona;Deportivo La Coruña;Deportivo La Coruña;39;1;0;Free kick;Left foot;Draw
samedi 28 novembre 2015;Liga;FC Barcelona;Real Sociedad;Real Sociedad;90+1;4;0;Field goal;Left foot;Won
dimanche 20 septembre 2015;Liga;FC Barcelona;Levante;Levante;61;3;0;Penalty;Left foot;Won
mardi 28 avril 2015;Liga;FC Barcelona;Getafe;Getafe;47;6;0;;Left foot;Won
mardi 28 avril 2015;Liga;FC Barcelona;Getafe;Getafe;9;1;0;Penalty;Left foot;Won
samedi 18 avril 2015;Liga;FC Barcelona;Valencia;Valencia;90+4;2;0;Rebound;Left foot;Won
mercredi 8 avril 2015;Liga;FC Barcelona;UD Almería;UD Almería;33;1;0;Solo run;Left foot;Won
dimanche 8 mars 2015;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;68;5;0;;Left foot;Won
dimanche 8 mars 2015;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;63;4;0;Rebound;Left foot;Won
dimanche 8 mars 2015;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;56;3;0;Penalty;Left foot;Won
dimanche 15 février 2015;Liga;FC Barcelona;Levante;Levante;65;4;0;Penalty;Left foot;Won
samedi 22 novembre 2014;Liga;FC Barcelona;Sevilla;Sevilla;21;1;0;Free kick;Left foot;Won
samedi 18 octobre 2014;Liga;FC Barcelona;Eibar;Eibar;74;3;0;;Left foot;Won
dimanche 24 août 2014;Liga;FC Barcelona;Elche;Elche;63;3;0;;Left foot;Won
dimanche 24 août 2014;Liga;FC Barcelona;Elche;Elche;42;1;0;;Left foot;Won
samedi 3 mai 2014;Liga;FC Barcelona;Getafe;Getafe;23;1;0;;Left foot;Draw
samedi 5 avril 2014;Liga;FC Barcelona;Real Betis;Real Betis;15;1;0;Penalty;Left foot;Won
dimanche 16 mars 2014;Liga;FC Barcelona;Osasuna;Osasuna;63;4;0;;Left foot;Won
dimanche 16 mars 2014;Liga;FC Barcelona;Osasuna;Osasuna;18;1;0;;Left foot;Won
dimanche 2 mars 2014;Liga;FC Barcelona;UD Almería;UD Almería;24;2;0;Free kick;Left foot;Won
samedi 15 février 2014;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;68;5;0;;Left foot;Won
samedi 15 février 2014;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;36;2;0;;Left foot;Won
samedi 14 septembre 2013;Liga;FC Barcelona;Sevilla;Sevilla;75;2;0;;Left foot;Won
dimanche 18 août 2013;Liga;FC Barcelona;Levante;Levante;42;5;0;Penalty;Left foot;Won
dimanche 18 août 2013;Liga;FC Barcelona;Levante;Levante;12;2;0;;Left foot;Won
dimanche 17 mars 2013;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;57;3;0;;Left foot;Won
dimanche 17 mars 2013;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;40;2;0;;Left foot;Won
samedi 9 mars 2013;Liga;FC Barcelona;Deportivo La Coruña;Deportivo La Coruña;88;2;0;;Left foot;Won
dimanche 10 février 2013;Liga;FC Barcelona;Getafe;Getafe;13;2;0;;Left foot;Won
dimanche 6 janvier 2013;Liga;FC Barcelona;Espanyol;Espanyol;29;4;0;Penalty;Left foot;Won
samedi 1 décembre 2012;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;25;2;0;;Left foot;Won
samedi 17 novembre 2012;Liga;FC Barcelona;Real Zaragoza;Real Zaragoza;16;1;0;;Left foot;Won
samedi 5 mai 2012;Liga;FC Barcelona;Espanyol;Espanyol;79;4;0;Penalty;Left foot;Won
samedi 5 mai 2012;Liga;FC Barcelona;Espanyol;Espanyol;74;3;0;;Left foot;Won
samedi 5 mai 2012;Liga;FC Barcelona;Espanyol;Espanyol;64;2;0;Penalty;Left foot;Won
samedi 5 mai 2012;Liga;FC Barcelona;Espanyol;Espanyol;12;1;0;Free kick;Left foot;Won
mardi 10 avril 2012;Liga;FC Barcelona;Getafe;Getafe;44;2;0;;Left foot;Won
samedi 31 mars 2012;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;58;2;0;Penalty;Left foot;Won
mardi 20 mars 2012;Liga;FC Barcelona;Granada;Granada;17;2;0;Field goal;Left foot;Won
samedi 4 février 2012;Liga;FC Barcelona;Real Sociedad;Real Sociedad;72;2;0;;Left foot;Won
dimanche 15 janvier 2012;Liga;FC Barcelona;Real Betis;Real Betis;12;2;0;;Left foot;Won
samedi 3 décembre 2011;Liga;FC Barcelona;Levante;Levante;55;4;0;;Left foot;Won
mardi 29 novembre 2011;Liga;FC Barcelona;Rayo Vallecano;Rayo Vallecano;50;4;0;;Left foot;Won
samedi 29 octobre 2011;Liga;FC Barcelona;Real Mallorca;Real Mallorca;30;3;0;;Left foot;Won
samedi 29 octobre 2011;Liga;FC Barcelona;Real Mallorca;Real Mallorca;13;1;0;Penalty;Left foot;Won
samedi 24 septembre 2011;Liga;FC Barcelona;Atlético Madrid;Atlético Madrid;90+1;5;0;;Left foot;Won
samedi 24 septembre 2011;Liga;FC Barcelona;Atlético Madrid;Atlético Madrid;78;4;0;;Left foot;Won
samedi 24 septembre 2011;Liga;FC Barcelona;Atlético Madrid;Atlético Madrid;26;3;0;;Left foot;Won
samedi 17 septembre 2011;Liga;FC Barcelona;Osasuna;Osasuna;79;8;0;;Left foot;Won
